year,statefips,countyfips,ice_wanh_ba,ice_wanh_aa,ice_wanh_h
2015-2019,01,001,0.14235640510351918,0.21932981259055007,0.22236762162920035
2015-2019,01,003,0.2126899789941925,0.2430989744223403,0.23323860126034845
2015-2019,01,005,-0.16618512573568753,0.09502407704654896,0.08517924023542
2015-2019,01,007,0.03598897112175301,0.1317660716877086,0.12697721665941084
2015-2019,01,009,0.17479733294958508,0.17551686093922386,0.15853600038374827
2015-2019,01,011,-0.2632774779892076,0.060210167566032376,0.050837830161885825
2015-2019,01,013,-0.06839840147556102,0.10113741162004304,0.09099292960344298
2015-2019,01,015,0.06165228113440197,0.14325748234502858,0.14002914471471808
2015-2019,01,017,-0.060901249256395,0.08060678167757288,0.07502974419988102
2015-2019,01,019,0.11017975225854522,0.13253236472012667,0.12275309676818479
2015-2019,01,021,0.11732734684232292,0.15017427778105985,0.13942222484787617
2015-2019,01,023,-0.07924528301886792,0.12056603773584906,0.11830188679245283
2015-2019,01,025,-0.08327832783278327,0.1254125412541254,0.12387238723872387
2015-2019,01,027,0.0700269334359369,0.13620623316660255,0.12870334744132358
2015-2019,01,029,0.11073943661971831,0.1443661971830986,0.1359154929577465
2015-2019,01,031,0.13019474001204578,0.1930335274041357,0.17938165027102992
2015-2019,01,033,0.0743601462522852,0.14702925045703838,0.13820840950639854
2015-2019,01,035,-0.11179442126070722,0.0678673402152427,0.0678673402152427
2015-2019,01,037,0.001488095238095238,0.11805555555555555,0.11805555555555555
2015-2019,01,039,0.0704282251548613,0.13446000538647992,0.13257473740910314
2015-2019,01,041,0.014768359295974105,0.1333198462472183,0.13230831478858993
2015-2019,01,043,0.1425211058838693,0.14348778758780692,0.13736547012953534
2015-2019,01,045,0.04929277890035095,0.13150058491970648,0.12288631287886845
2015-2019,01,047,-0.25757385292269014,0.06543054682589566,0.06543054682589566
2015-2019,01,049,0.12450076804915515,0.13091397849462366,0.09166666666666666
2015-2019,01,051,0.1703918136528881,0.2290292177191329,0.2256631210448364
2015-2019,01,053,-0.056230422492168995,0.08885323554129422,0.08411643364657345
